	delta_T_C	oxidation_mult	precip_mult	extreme_event_mult	dam_risk_mult	fire_season_days	drought_mult	flood_mult	acid_load	growth_loss_frac	ca_depletion_frac	mycorrhizal_dead	timber_volume_lost_m3	pulp_grade_rejected	direct_timber_loss_usd	pulp_grade_loss_usd	total_lumber_loss_usd	lumber_jobs_lost	fish_tissue_hg_mg_kg	state_avg_rfd_ratio	ojibwe_mean_rfd_ratio	ojibwe_high_rfd_ratio	iq_loss_per_child	cumulative_impaired_children	fish_advisory_triggered	harvest_displacement_cost_usd	treaty_rights_violation	so2_tonnes_yr	pm25_tonnes_yr	pm10_tonnes_yr	hg_atmospheric_kg_yr	asthma_attacks_yr	copd_hospitalizations_yr	cardio_deaths_yr	air_quality_health_cost_usd	bwca_visibility_km	class_i_violation	soy_yield_loss_frac	annual_fire_prob_mult	expected_burn_acres_yr	tailings_overrun_acres	hg_re_released_kg_yr	firefighters_exposed	firefighter_cancer_excess	residents_evacuated	structures_lost	suppression_cost_usd	evacuation_cost_usd	structure_cost_usd	recreation_closure_cost	total_fire_cost_usd	hg_loading_increase	intake_upgrade_required	intake_upgrade_capex_usd	annual_dredge_cost_usd	canadian_refusal_prob	backhaul_loss_usd	fishing_advisory	fishing_jobs_lost	fishing_revenue_loss_usd	iron_revenue_at_risk_usd	ballast_surcharge_usd	port_jobs_lost	total_port_annual_cost_usd	sulfate_mg_l	methyl_hg_ng_l	mine_active	tailings_failed
10	tailings_failure	0.6486486486486487	1.0493025082731586	1.0202702702702702	1.1891891891891893	1.0910000000000002	134.75675675675674	1.1216216216216217	1.1486486486486487	0.03905752792597859	0.010865708767624271	0	False	154293.06450026465	False	15423134.727446454	0.0	15423134.727446454	22	2.4879329727034487	6.219832431758621	49.067566961651345	98.4806801695115	0.8168381535979963	791	True	20880000	True	3400	201.8918918918919	695.4054054054054	85	32736.0	9.012454054054054	2.6286324324324326	49644845.37081081	124.19999999999999	True	0.0004896	1.2756641688633974	2388.04332411228	47.7608664822456	0.001842325214410938	30	1.469999999999999	592	0	6686521.307514384	1095200	0	0.0	7781721.307514384	0.3252837775646791	False	0	19794872.150333844	0	0.0	True	420	38000000.0	48360000.0	13115441.911407866	3762	119270314.06174171	1.9528763962989293	4.879256663470188	True	False
11	tailings_failure	0.7135135135135136	1.054364517293886	1.0222972972972972	1.2081081081081082	1.1000999999999999	135.43243243243242	1.1337837837837839	1.1635135135135135	0.04904585421384784	0.016328154217837065	0	False	231859.78989328633	False	23176704.597732905	0.0	23176704.597732905	34	2.499935173261909	6.249837933154772	49.30427702822098	98.95576727495056	0.82077871608535	950	True	20880000	True	3400	204.0810810810811	702.945945945946	85	32736.0	9.11017945945946	2.6571356756756757	49977281.13989189	124.19999999999999	True	0.0004896	1.3172404605070196	2465.874142069141	49.31748284138282	0.0022194317296921197	30	1.469999999999999	611	0	6904447.597793594	1130350	0	0.0	8034797.597793594	0.32685300036110476	False	0	19866052.096379712	0	0.0	True	420	38000000.0	48360000.0	13178712.974559741	3762	119404765.07093945	2.452292710692392	4.9027950054165705	True	False
12	tailings_failure	0.7783783783783784	1.0594509462841875	1.0243243243243243	1.227027027027027	1.1091999999999997	136.1081081081081	1.145945945945946	1.1783783783783783	0.132886889491537	0.05070869642685505	0.3221904219945497	False	720063.4892613417	False	71977546.38656372	0.0	71977546.38656372	106	2.511995274422928	6.27998818605732	49.54212902334108	99.4331462792409	0.8247382884985359	1108	True	20880000	True	3400	206.2702702702703	710.4864864864866	85	32736.0	9.207904864864865	2.685638918918919	50309716.90897298	124.19999999999999	True	0.0004896	1.4491162609213188	2712.745640444709	54.254912808894176	0.00627847867316119	30	1.469999999999999	672	0	7595687.793245185	1243200	0	0.0	8838887.793245185	0.3284297933480982	False	0	19937575.426269736	0	0.0	True	420	38000000.0	48360000.0	13242289.267795315	3762	119539864.69406505	6.644344474576851	4.926446900221472	True	True
13	tailings_failure	0.8432432432432433	1.0645619130500388	1.0263513513513514	1.2459459459459459	1.1183	136.78378378378378	1.1581081081081082	1.1932432432432432	0.2224249520318266	0.09475235527218706	0.3588196115700454	False	1345483.4448650563	False	134494525.14871106	0.0	134494525.14871106	198	2.5241135555085985	6.310283888771496	49.78112845586403	99.91282823888201	0.828716962544583	1266	True	20880000	True	3400	208.45945945945948	718.0270270270271	85	32736.0	9.305630270270271	2.7141421621621626	50642152.67805406	124.19999999999999	True	0.0004896	1.6155312238976542	3024.2744511364085	60.485489022728174	0.011276960066756707	45	2.2049999999999983	750	0	8467968.463181945	1387500	0	0.0	9855468.463181945	0.33001419304551205	False	0	20009443.796544425	0	0.0	True	420	38000000.0	48360000.0	13306172.263595046	3762	119675616.06013948	11.12124760159133	4.9502128956826805	True	True
14	tailings_failure	0.9081081081081082	1.0696975359657321	1.0283783783783784	1.2648648648648648	1.1274000000000002	137.45945945945945	1.1702702702702703	1.2081081081081082	0.3156717355684357	0.1469519958024419	0.3934693402873666	False	2086718.3403946748	False	208588365.3058517	0.0	208588365.3058517	308	2.53629029718851	6.340725742971275	50.02128086121783	100.39482426371187	0.8327148303729316	1425	True	20880000	True	3400	210.64864864864865	725.5675675675676	85	32736.0	9.403355675675675	2.7426454054054052	50974588.447135136	124.19999999999999	True	0.0004896	1.8133287994681802	3394.5515126044334	67.89103025208867	0.01745883412901849	45	2.2049999999999983	841	0	9504744.235292414	1555850	0	0.0	11060594.235292414	0.331606236149377	False	0	20081658.871735744	0	0.0	True	420	38000000.0	48360000.0	13370363.44154288	3762	119812022.31327863	15.783586778421784	4.974093542240655	True	True
15	tailings_failure	0.972972972972973	1.0748579339766162	1.0304054054054055	1.2837837837837838	1.1365000000000003	138.13513513513513	1.1824324324324325	1.222972972972973	0.41135795450124446	0.37002555878488624	0.42624657926256726	True	5254362.934745384	False	525226118.9571486	0.0	525226118.9571486	777	2.548525781486246	6.371314453715615	50.26259180153429	100.87914551716389	0.8367319845775643	1583	True	20880000	True	3400	212.83783783783784	733.1081081081081	85	32736.0	9.50108108108108	2.7711486486486483	51307024.216216214	124.19999999999999	True	0.0004896	2.576948587154816	4824.047755153816	96.48095510307633	0.03163403702244062	60	2.939999999999998	1196	0	13507333.714430684	2212600	0	0.0	15719933.714430684	0.333205959532751	False	0	20154222.32440559	0.18	25200000.0	True	420	38000000.0	48360000.0	13434864.288360521	3762	145149086.6127661	20.567897725062224	4.9980893929912655	True	True
16	tailings_failure	1.037837837837838	1.0800432266018518	1.0324324324324325	1.3027027027027027	1.1456000000000002	138.8108108108108	1.1945945945945946	1.2378378378378379	0.5086924180012102	0.48380435279389955	0.4572525188357781	True	6870021.809673374	False	686727380.0949504	0.0	686727380.0949504	1015	2.5608202917859217	6.402050729464804	50.50506686577789	101.36580321652606	0.8407685181991539	1741	True	20880000	True	3400	215.02702702702703	740.6486486486486	85	32736.0	9.598806486486486	2.799651891891892	51639459.98529729	124.19999999999999	True	0.0004896	3.0022190529906876	5620.154067198567	112.40308134397134	0.04480358385351827	75	3.674999999999997	1393	0	15736431.388155987	2577050	0	0.0	18313481.38815599	0.33481340024657413	False	0	20227135.835184604	0.18	25200000.0	True	420	38000000.0	48360000.0	13440000.0	3762	145227135.8351846	25.434620900060512	5.022201003698611	True	True
17	tailings_failure	1.1027027027027028	1.08525353393718	1.0344594594594594	1.3216216216216217	1.1547	139.48648648648648	1.2067567567567568	1.2527027027027027	0.6071982899965545	0.6025941186367113	0.486582880967408	True	8556836.4846413	False	855341375.0047445	0.0	855341375.0047445	1265	2.5731741128387418	6.432935282096854	50.74871166987518	101.85480863320018	0.8448245247272157	1900	True	20880000	True	3400	217.21621621621622	748.1891891891892	85	32736.0	9.69653189189189	2.828155135135135	51971895.75437838	124.19999999999999	True	0.0004896	3.4577733451697292	6472.951702157734	129.45903404315467	0.060757244706445876	90	4.409999999999997	1605	0	18124264.766041655	2969250	0	0.0	21093514.766041655	0.33642859552052595	False	0	20300401.09281106	0.18	25200000.0	True	420	38000000.0	48360000.0	13440000.0	3762	145300401.09281105	30.359914499827724	5.0464289328078875	True	True
18	tailings_failure	1.1675675675675676	1.0904889766577042	1.0364864864864864	1.3405405405405406	1.1638000000000002	140.16216216216216	1.218918918918919	1.2675675675675677	0.7066025494378085	0.7233068825374255	0.5143282147522876	True	10270957.732031442	False	1026684934.893863	0.0	1026684934.893863	1518	2.5855875307695997	6.463968826923999	50.99353185684489	102.34617309296333	0.848900098102275	2058	True	20880000	True	3400	219.4054054054054	755.7297297297297	85	32736.0	9.794257297297296	2.8566583783783783	52304331.52345946	124.19999999999999	True	0.0004896	3.9338330476318513	7364.135465166827	147.28270930333653	0.07953785945990433	105	5.144999999999996	1826	0	20619579.302467115	3378100	0	0.0	23997679.302467115	0.33805158276388836	False	0	20374019.794169977	0.18	25200000.0	True	420	38000000.0	48360000.0	13440000.0	3762	145374019.79416996	35.33012747189043	5.070773741458325	True	True
19	tailings_failure	1.2324324324324323	1.0957496760206833	1.0385135135135135	1.3594594594594593	1.1729	140.83783783783784	1.231081081081081	1.2824324324324325	0.806761956204013	0.8431247079789048	0.5405741759640734	True	11972370.853300449	False	1196758190.495913	0.0	1196758190.495913	1770	2.5980608330837005	6.495152082709251	51.23953309692853	102.83990797622981	0.8529953327180405	2216	True	20880000	True	3400	221.59459459459458	763.2702702702702	85	32736.0	9.8919827027027	2.885161621621621	52636767.292540535	124.19999999999999	True	0.0004896	4.420846272540027	8275.824222194931	165.51648444389863	0.10108988606280664	120	5.879999999999996	2052	1	23172307.82214581	3796200	340000	0.0	27308507.82214581	0.3396823995664118	False	0	20447993.64433244	0.18	25200000.0	True	420	38000000.0	48360000.0	13440000.0	3762	145447993.64433244	40.33809781020065	5.0952359934961775	True	True
