_frac	residential_loss_usd	commercial_loss_usd	total_property_loss_usd	annual_tax_base_loss	superfund_flag	silicosis_cases	fibrosis_cases	hearing_loss_cases	fatal_injuries	kids_neuro_impaired	adult_cancer_cases	worker_health_cost_usd	community_health_cost_usd	total_health_cost_usd	ltc_annual_cases	ltc_annual_cost_usd	ltc_medicaid_cost_usd	ltc_capacity_shortfall	families_displaced_ltc	water_upgrade_capex_usd	water_om_annual_usd	em_annual_usd	sped_annual_usd	ph_surveillance_usd	mental_health_usd	municipal_annual_usd	tax_revenue_loss_usd	effective_deficit_usd	fiscal_stress_ratio	fiscal_collapse_flag	medicaid_annual_usd	unfunded_cleanup_usd	perpetual_treatment_usd	tourism_tax_loss_usd	ihs_obligation_usd	state_annual_load_usd	power_demand_mw	grid_reserve_margin	grid_stress_flag	transmission_capex_usd	ratepayer_burden_usd	water_stress_ratio	water_conflict_flag	road_maint_annual_usd	ems_response_time_min	sulfate_mg_l	wells_contaminated	forced_migrants	tailings_failed
0	0.0	0.0	0.0	0.0	0.0	False	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	False	0.0	0	0	0.0	0	0.0	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	0.0	0	0	False
1	0.0	0.0	0.0	0.0	0.0	False	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	False	0.0	0	0	0.0	0	0.0	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	0.0	0	0	False
2	0.0	0.0	0.0	0.0	0.0	False	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	False	0.0	0	0	0.0	0	0.0	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	0.0	0	0	False
3	0.0	0.0	0.0	0.0	0.0	False	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	False	0.0	0	0	0.0	0	0.0	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	0.0	0	0	False
4	0.0	0.0	0.0	0.0	0.0	False	0	0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	False	0.0	0	0	0.0	0	0.0	0	0.13	False	0	0	0.19090909090909092	False	3200000.0	28	0.0	0	0	False
5	0.22	237688000.0	122263999.99999999	359952000.0	4031462.4	False	2	3	11	0.1015	0	0	6292400.0	0	6292400.0	3	114000	70680.0	0	0	0	4216000	6931600.0	0	1054000	0	12201600.0	4031462.4	16233062.4	0.2450120481927711	True	70680.0	0	0	0.0	0	70680.0	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	0.0	0	0	False
6	0.68	734672000.0	122263999.99999999	856936000.0	9597683.2	True	5	7	23	0.203	409	1	14129800.0	491230000	505359800.0	417	21628000	13409360.0	0	0	0	4216000	6931600.0	10020500	1054000	0	22222100.0	9597683.2	31819783.2	0.4462269076305221	True	13409360.0	864000000.0	45000000.0	1769492.082139292	0	60178852.08213929	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	0.21065381930229665	0	0	False
7	0.68	734672000.0	122263999.99999999	856936000.0	9597683.2	True	8	11	35	0.3045	409	2	21967200.0	491660000	513627200.0	422	21874000	13561880.0	0	0	0	4216000	6931600.0	10020500	1054000	0	22222100.0	9597683.2	31819783.2	0.4462269076305221	True	13561880.0	864000000.0	45000000.0	4596120.217094598	0	63158000.2170946	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	0.5471571687017379	0	0	False
8	0.68	734672000.0	124864203.56164384	859536203.5616438	9626805.479890412	True	11	15	47	0.406	409	4	29804600.0	492520000	522324600.0	428	22214000	13772680.0	0	0	2083200	4216000	6931600.0	10020500	1054000	34155	22256255.0	9626805.479890412	31883060.479890414	0.44691275100401606	True	14135280.0	864000000.0	45000000.0	8022442.008737304	0	67157722.00873731	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	0.9550526200877744	248	207	False
9	0.68	734672000.0	126070095.06849314	860742095.0684931	9640311.464767123	True	14	19	59	0.5075	409	6	37642000.0	493380000	531022000.0	434	22554000	13983480.0	0	0	3057600	4216000	6931600.0	10020500	1054000	49995	22272095.0	9640311.464767123	31912406.46476712	0.4472308232931727	True	14512680.0	864000000.0	45000000.0	11760410.15023611	0	71273090.15023611	85	0.029669963329258732	True	520000000.0	405600000.0	0.8272727272727273	True	15360000.0	44.800000000000004	1.4000488274090606	364	303	False
