	scenario	delta_T_C	oxidation_mult	precip_mult	extreme_event_mult	dam_risk_mult	fire_season_days	drought_mult	flood_mult	acid_load	growth_loss_frac	ca_depletion_frac	mycorrhizal_dead	timber_volume_lost_m3	pulp_grade_rejected	direct_timber_loss_usd	pulp_grade_loss_usd	total_lumber_loss_usd	lumber_jobs_lost	fish_tissue_hg_mg_kg	state_avg_rfd_ratio	ojibwe_mean_rfd_ratio	ojibwe_high_rfd_ratio	iq_loss_per_child	cumulative_impaired_children	fish_advisory_triggered	harvest_displacement_cost_usd	treaty_rights_violation	so2_tonnes_yr	pm25_tonnes_yr	pm10_tonnes_yr	hg_atmospheric_kg_yr	asthma_attacks_yr	copd_hospitalizations_yr	cardio_deaths_yr	air_quality_health_cost_usd	bwca_visibility_km	class_i_violation	soy_yield_loss_frac	annual_fire_prob_mult	expected_burn_acres_yr	tailings_overrun_acres	hg_re_released_kg_yr	firefighters_exposed	firefighter_cancer_excess	residents_evacuated	structures_lost	suppression_cost_usd	evacuation_cost_usd	structure_cost_usd	recreation_closure_cost	total_fire_cost_usd	hg_loading_increase	intake_upgrade_required	intake_upgrade_capex_usd	annual_dredge_cost_usd	canadian_refusal_prob	backhaul_loss_usd	fishing_advisory	fishing_jobs_lost	fishing_revenue_loss_usd	iron_revenue_at_risk_usd	ballast_surcharge_usd	port_jobs_lost	total_port_annual_cost_usd	sulfate_mg_l	methyl_hg_ng_l	mine_active	tailings_failed
10	protected	0.6486486486486487	1.0493025082731586	1.0202702702702702	1.1891891891891893	1.0910000000000002	134.75675675675674	1.1216216216216217	1.1486486486486487	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.2432432432432428	2327.3513513513503	0	0	30	1.469999999999999	577	0	6516583.783783781	1067450	0	0.0	7584033.783783781	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
11	protected	0.7135135135135136	1.054364517293886	1.0222972972972972	1.2081081081081082	1.1000999999999999	135.43243243243242	1.1337837837837839	1.1635135135135135	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.267567567567567	2372.8864864864854	0	0	30	1.469999999999999	588	0	6644082.16216216	1087800	0	0.0	7731882.16216216	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
12	protected	0.7783783783783784	1.0594509462841875	1.0243243243243243	1.227027027027027	1.1091999999999997	136.1081081081081	1.145945945945946	1.1783783783783783	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.2918918918918916	2418.421621621621	0	0	30	1.469999999999999	599	0	6771580.540540539	1108150	0	0.0	7879730.540540539	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
13	protected	0.8432432432432433	1.0645619130500388	1.0263513513513514	1.2459459459459459	1.1183	136.78378378378378	1.1581081081081082	1.1932432432432432	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.3162162162162159	2463.9567567567565	0	0	30	1.469999999999999	611	0	6899078.918918918	1130350	0	0.0	8029428.918918918	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
14	protected	0.9081081081081082	1.0696975359657321	1.0283783783783784	1.2648648648648648	1.1274000000000002	137.45945945945945	1.1702702702702703	1.2081081081081082	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.3405405405405402	2509.491891891891	0	0	30	1.469999999999999	622	0	7026577.297297295	1150700	0	0.0	8177277.297297295	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
15	protected	0.972972972972973	1.0748579339766162	1.0304054054054055	1.2837837837837838	1.1365000000000003	138.13513513513513	1.1824324324324325	1.222972972972973	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.3648648648648647	2555.0270270270266	0	0	30	1.469999999999999	633	0	7154075.675675674	1171050	0	0.0	8325125.675675674	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
16	protected	1.037837837837838	1.0800432266018518	1.0324324324324325	1.3027027027027027	1.1456000000000002	138.8108108108108	1.1945945945945946	1.2378378378378379	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.389189189189189	2600.5621621621617	0	0	30	1.469999999999999	644	0	7281574.054054053	1191400	0	0.0	8472974.054054052	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
17	protected	1.1027027027027028	1.08525353393718	1.0344594594594594	1.3216216216216217	1.1547	139.48648648648648	1.2067567567567568	1.2527027027027027	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.4135135135135135	2646.0972972972972	0	0	30	1.469999999999999	656	0	7409072.432432433	1213600	0	0.0	8622672.432432432	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
18	protected	1.1675675675675676	1.0904889766577042	1.0364864864864864	1.3405405405405406	1.1638000000000002	140.16216216216216	1.218918918918919	1.2675675675675677	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.4378378378378378	2691.632432432433	0	0	30	1.469999999999999	667	0	7536570.810810812	1233950	0	0.0	8770520.810810812	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
19	protected	1.2324324324324323	1.0957496760206833	1.0385135135135135	1.3594594594594593	1.1729	140.83783783783784	1.231081081081081	1.2824324324324325	0.0	0.0	0	False	0.0	False	0.0	0.0	0.0	0	0	0	0	0	0	0	False	0	False	0	0	0	0	0.0	0.0	0.0	0.0	165.0	False	0.0	1.462162162162162	2737.1675675675674	0	0	30	1.469999999999999	678	0	7664069.189189189	1254300	0	0.0	8918369.189189188	0	False	0	0	0	0	False	0	0	0	0	0	0	0.0	0.0	False	False
